who,color,hierarchy,polity,degree,clustering-coeff,resources
206,105,0,(turtle 317),15,0.0666666666666666,3660385912537.139
582,105,123,(turtle 317),118,0.0218745472982761,27217944435.160114
694,105,0,(turtle 317),15,0.0571428571428571,2776608011084.8687
749,105,0,(turtle 317),17,0.0661764705882353,3743591025694.882
747,105,0,(turtle 317),14,0.1208791208791208,3767265018254.173
835,105,0,(turtle 317),22,0.0649350649350649,2029819117139.1167
235,105,0,(turtle 317),13,0.0769230769230769,4207634725523.866
641,105,0,(turtle 317),13,0.0641025641025641,2315513763452.525
266,105,0,(turtle 317),19,0.0409356725146198,4758434793781.786
236,105,0,(turtle 317),18,0.0588235294117647,4499432410158.915
610,105,0,(turtle 317),11,0.0727272727272727,2866029249933.421
115,105,0,(turtle 317),17,0.0514705882352941,3565100590289.063
952,105,1,(turtle 317),16,0.075,133616464.35453
263,105,0,(turtle 317),14,0.0219780219780219,2868663238698.783
773,105,0,(turtle 317),15,0.0761904761904762,1951412943965.6252
801,105,17,(turtle 317),25,0.08,402896611.81274927
602,105,0,(turtle 317),12,0.0757575757575757,2129250240331.3403
29,105,0,(turtle 317),15,0.1142857142857142,3317350734410.9062
544,105,0,(turtle 317),11,0.0727272727272727,2285732096235.895
96,105,0,(turtle 317),18,0.0522875816993464,1111531496492.6636
325,105,0,(turtle 317),11,0.0727272727272727,2247038476807.559
549,105,0,(turtle 317),11,0.0545454545454545,2665799465124.375
648,105,0,(turtle 317),11,0.0727272727272727,2747274561809.932
195,105,0,(turtle 317),17,0.0294117647058823,4968222668520.94
474,105,0,(turtle 317),17,0.088235294117647,2962905196664.108
666,105,0,(turtle 317),20,0.0368421052631578,2645160930111.521
756,105,0,(turtle 317),14,0.0549450549450549,3369567778185.652
523,105,0,(turtle 317),8,0.0357142857142857,6121847866360.347
998,105,0,(turtle 317),11,0.0545454545454545,3875420556453.932
155,105,1,(turtle 317),12,0.0303030303030303,361414085.40292567
703,105,113,(turtle 317),108,0.0072689511941848,5291324130.437095
171,105,0,(turtle 317),11,0.0181818181818181,2927460103454.22
748,105,0,(turtle 317),14,0.0439560439560439,1935420914491.297
293,105,0,(turtle 317),17,0.0808823529411764,3584482137150.826
905,105,0,(turtle 317),20,0.0421052631578947,3012389106115.4097
818,105,1,(turtle 317),14,0.0659340659340659,154359082.75230598
136,105,8,(turtle 317),18,0.0915032679738562,239741849.67193604
